0,0,'T's Restaurant Tantanmen ',42,'Cup','New Touch','Japan'
1,1,'Noodles Spicy Hot Sesame Spicy Hot Sesame Guan-miao Noodles',76,'Pack','Just Way','Taiwan'
2,2,'Cup Noodles Chicken Vegetable',45,'Cup','Nissin','USA'
3,3,'GGE Ramen Snack Tomato Flavor',63,'Pack','Wei Lih','Taiwan'
4,4,'Singapore Curry',94,'Pack','Ching's Secret','India'
5,5,'Kimchi song Song Ramen',46,'Pack','Samyang Foods','South Korea'
6,6,'Spice Deli Tantan Men With Cilantro',13,'Cup','Acecook','Japan'
7,7,'Nabeyaki Kitsune Udon',57,'Tray','Ikeda Shoku','Japan'
8,8,'Hokkaido Soy Sauce Ramen',55,'Pack','Ripe'n'Dry','Japan'
9,9,'The Original Spicy Stir-Fried Noodles',10,'Pack','KOKA','Singapore'
10,10,'Creamy tom Yum Kung Flavour',68,'Pack','Tao Kae Noi','Thailand'
11,11,'Yokohama Tonkotsu Shoyu',17,'Pack','Yamachan','USA'
12,12,'Mr. Bibim Stir-Fried Kimchi Flavor',31,'Pack','Nongshim','South Korea'
13,13,'Deka Buto Kimchi Pork Flavor',36,'Bowl','Nissin','Japan'
14,14,'Demae Ramen Bar Noodle Aka Tonkotsu Flavour Instant Noodle',8,'Pack','Nissin','Hong Kong'
15,15,'Mushroom Flavour Instant Noodles',52,'Cup','KOKA','Singapore'
16,16,'Mario Masala Noodles',34,'Pack','TRDP','India'
17,17,'Tokyo Shoyu Ramen',31,'Pack','Yamachan','USA'
18,18,'Mi Hai Cua',49,'Pack','Binh Tay','Vietnam'
19,19,'Premium Gomtang',9,'Pack','Paldo','South Korea'
20,20,'Cup Noodles Laksa Flavour',23,'Cup','Nissin','Hong Kong'
21,21,'Beef Ramen',36,'Pack','Jackpot Teriyaki','USA'
22,22,'Creamy Soup With Crushed Noodles Hot & Sour Fish Flavor',51,'Cup','KOKA','Singapore'
23,23,'Sapporo Miso Ramen',35,'Pack','Yamachan','USA'
24,24,'Hot Garlic Instant Noodles',42,'Pack','Ching's Secret','India'
25,25,'Song Song Kimchi Big Bowl',73,'Bowl','Samyang Foods','South Korea'
26,26,'Instant Noodles Beef In Light Soup Flavour',49,'Pack','Yum-Mie','Ghana'
27,27,'Hakata Ramen Noodle White Tonkotsu',9,'Bowl','Nissin','Japan'
28,28,'Penang White Curry Rice Vermicelli Soup',59,'Bowl','MyKuali','Malaysia'
29,29,'Signature Tom Yum Flavor Instant Noodles',47,'Pack','KOKA','Singapore'
30,30,'Paegaejang Ramen',71,'Pack','Samyang Foods','South Korea'
31,31,'Gekikara Ramen Extra Hot Ramen Goreng',22,'Pack','Nissin','Indonesia'
32,32,'Plain Instant Noodle No Soup Included',43,'Pack','Ottogi','South Korea'
33,33,'Chongqing Spicy Hot Noodles',82,'Bowl','Sichuan Guangyou','China'
34,34,'Sugo-Men Kyoto Backfat Shoyu Ramen',40,'Bowl','New Touch','Japan'
35,35,'Instant Noodles Laksa Singapura Flavour',87,'Pack','KOKA','Singapore'
36,36,'Cup-A-Soup Chicken Noodle With White Meat Instant Soup',85,'Box','Lipton','USA'
37,37,'Curry Flavour Instant Noodles',14,'Cup','KOKA','Singapore'
38,38,'Super Cup Yochan Ika Yakisoba',28,'Tray','Acecook','Japan'
39,39,'Cup Noodles Very Veggie Spicy Chicken Flavor Ramen Noodle Soup',54,'Cup','Nissin','USA'
40,40,'GGE Noodle Snack Wheat Crackers Mexican Spicy',13,'Pack','Wei Lih','Taiwan'
41,41,'Demae Iccho Tonkotsu Flavour Instant Noodle',39,'Cup','Nissin','Hong Kong'
42,42,'Cup Noodles Very Veggie Beef Flavor Ramen Noodle Soup',90,'Cup','Nissin','USA'
43,43,'Cup NoodlesTom Yam Seafood (More Shrimptacular)',71,'Cup','Nissin','Singapore'
44,44,'Instant Noodles Beef',9,'Pack','Lele','Ghana'
45,45,'Cup Noodles Very Veggie Chicken Flavor Ramen Noodle Soup',53,'Cup','Nissin','USA'
46,46,'Hokkaido Hakodate Shoyu Ramen',44,'Pack','Fujiwara','Japan'
47,47,'Shin Ramyun Black',32,'Pack','Nongshim','South Korea'
48,48,'Nippon Onomichi Ramen',42,'Bowl','Nissin','Japan'
49,49,'Pickled Cabbage Beef',98,'Pack','Uni-President','China'
50,50,'Ppushu Ppushu Noodle Snack Honey Butter ',73,'Pack','Ottogi','South Korea'
51,51,'Gotsumori Chanpon Ramen',52,'Bowl','Maruchan','Japan'
52,52,'Juzz's Mee Creamy Chicken Flavour (Export Version)',80,'Pack','Prima','Singapore'
53,53,'Mushroom Flavor',44,'Pack','Uni-President','Vietnam'
54,54,'Jjamppong Big Bowl',65,'Bowl','Samyang Foods','South Korea'
55,55,'Curry Udon',66,'Pack','Sokensha','Japan'
56,56,'Straits Reborn Laksa',9,'Pack','Nissin','Singapore'
57,57,'Budae Jjigae Noodle Soup',14,'Pack','Nongshim','South Korea'
58,58,'Hearty Japanese Style Curry Udon',24,'Pack','Takamori','Japan'
59,59,'Cup Noodles Potato Chips Black Pepper Crab Flavour',34,'Pack','Nissin','Singapore'
60,60,'Cup Noodles Blacl Pepper Crab Flavour (More Angry Crab)',95,'Cup','Nissin','Singapore'
61,61,'Anchovy Flavor Guava Rice Noodles',41,'Tray','Guava Story','South Korea'
62,62,'Umami Ramen',70,'Pack','Samurai Ramen','Japan'
63,63,'Nabeyaki Tempura Udoin',82,'Bowl','Ikeda Shoku','Japan'
64,64,'Hokkaido Hakodate Miso Ramen',82,'Pack','Fujiwara','Japan'
65,65,'Man Han Feast Spicy Beef Flavor Instant Noodles',19,'Bowl','Uni-President','Taiwan'
66,66,'Kirin Giraffe Shoyu Ramen',8,'Pack','Ogasawara','Japan'
67,67,'Nissin Top Ramen Chicken Flavor Potato Crisps ',47,'Can','Pringles','USA'
68,68,'Dan Dan Noodle',89,'Pack','Mom's Dry Noodle','Taiwan'
69,69,'Samyang Ramen Classic Edition',92,'Bowl','Samyang Foods','South Korea'
70,70,'Penang Red Tom Yum Goong Noodle',52,'Pack','MyKuali','Malaysia'
71,71,'Hot Heads Green Chilli Noodles',78,'Pack','Maggi','India'
72,72,'Mala Buldak Bokkeummyun',69,'Pack','Samyang Foods','South Korea'
73,73,'RMy Noodlez Rumput Laut',48,'Pack','Indomie','Indonesia'
74,74,'Delight Chicken Flavor Instant Non-Fried Noodles',13,'Pack','KOKA','Singapore'
75,75,'Super Cup Torigawa Shoyu',18,'Bowl','Acecook','Japan'
76,76,'Shin Ramyun',24,'Pack','Nongshim','South Korea'
77,77,'Sweet Potato Instant Noodle Sout-Hot Flavor',65,'Bowl','Sichuan Guangyou','China'
78,78,'Onion Chicken Flavor',63,'Pack','Indomie','Nigeria'
79,79,'Toona Paste Noodle',7,'Pack','Happy Cook','Taiwan'
80,80,'Supreme Creamy Tom Yum Noodle',92,'Box','The Ramen Rater Select','Malaysia'
81,81,'Creamy Soup With Crushed Noodles Chicken Flavor',78,'Cup','KOKA','Singapore'
82,82,'Demae Ramen Spicy Beef',82,'Pack','Nissin','Germany'
83,83,'Cup Noodles Spicy',72,'Cup','Nissin','Germany'
84,84,'Soba Thai',39,'Pack','Nissin','Germany'
85,85,'Cup Noodles Huhn (Chicken)',7,'Cup','Nissin','Germany'
86,86,'Demae Ramen Korean Kimchi',56,'Pack','Nissin','Germany'
87,87,'Cup Noodles Curry',62,'Cup','Nissin','Germany'
88,88,'Smack Chili',16,'Pack','Nissin','Hungary'
89,89,'Soba Yakitori Chicken',83,'Cup','Nissin','Germany'
90,90,'Demae Ramen Garlic Chicken',57,'Pack','Nissin','Germany'
91,91,'Cup Noodles Ente (Duck)',39,'Cup','Nissin','Germany'
92,92,'Demae Ramen Thai Tom Yum',95,'Pack','Nissin','Germany'
93,93,'Soba Sukiyaki Beef',83,'Cup','Nissin','Germany'
94,94,'Demae Ramen Spicy',10,'Pack','Nissin','Germany'
95,95,'Cup Noodles Shrimps',12,'Cup','Nissin','Germany'
96,96,'Demae Ramen Tokyo Soy Sauce',12,'Pack','Nissin','Germany'
97,97,'Bul Jjamppong',41,'Bowl','Paldo','South Korea'
98,98,'Chicken With Chinese Shaoxing Wine',90,'Pack','TTL','Taiwan'
99,99,'Buldak Bokkeummyun',17,'Cup','Samyang Foods','South Korea'
100,100,'Pork Wantan Men',72,'Bowl','Acecook','Japan'
101,101,'Instant Noodles Chicken Flavour',83,'Pack','E-Zee','Malaysia'
102,102,'Scallion Oil & Soy Sauce Noodle',59,'Pack','Kiki Noodle','Taiwan'
103,103,'Sichuan Spices Flavor Noodle',91,'Pack','Kiki Noodle','Taiwan'
104,104,'Kimchi Stew Ramyun',71,'Bowl','Samyang Foods','South Korea'
105,105,'Seimen Red Spicy Dandan Men',18,'Bowl','Maruchan','Japan'
106,106,'Ppushu Ppushu Noodle Snack Chilli Cheese Flavor',41,'Pack','Ottogi','South Korea'
107,107,'Mini Instant Noodle Mild Curry Flavor',75,'Pack','Tokyo Noodle','Japan'
108,108,'Noodle Snack Wheat Cracks Seaweed Flavor',12,'Pack','GGE','Taiwan'
109,109,'Cup Noodles Mini Seafood Flavour',46,'Cup','Nissin','Hong Kong'
110,110,'Udon Japanese Style Noodles With Soup Base Hot & Sour Flavor',27,'Pack','Myojo','USA'
111,111,'Signature Curry Flavor Instant Noodles',10,'Cup','KOKA','Singapore'
112,112,'Dossari Yasai Chanpon',17,'Cup','Acecook','Japan'
113,113,'Volcano Curry Kkokkomyun',54,'Pack','Paldo','South Korea'
114,114,'Instant Noodle King Pepper Duck Flavour Soup',43,'Pack','Sau Tao','Hong Kong'
115,115,'Cup Noodles XO Sauce Seafood',35,'Cup','Nissin','China'
116,116,'Extreme Spicy Hot Chicken Flavor Udon',14,'Bowl','Wang','South Korea'
117,117,'Gekikara Ramen Rasa Pedas',69,'Pack','Nissin','Indonesia'
118,118,'Sesame Oil Chicken Noodle With Rice Wine',48,'Bowl','TTL','Taiwan'
119,119,'Hokkaido Hakodate Shio Ramen',48,'Pack','Fujiwara','Japan'
120,120,'Katsuo Bowl Udon',31,'Bowl','Daifuku','USA'
121,121,'Cup Noodles MUG Shoyu & Seafood',40,'Pack','Nissin','Japan'
122,122,'Sari Ramen',90,'Pack','Samyang Foods','South Korea'
123,123,'Instant Noodles Chicken Satay Flavour',53,'Pack','KOKA','Singapore'
124,124,'Signature Spicy Singapore Fried Noodles Instant Noodles',95,'Pack','KOKA','Singapore'
125,125,'Creamy Soup With Crushed Noodles Sweet Corn Flavor',43,'Cup','KOKA','Singapore'
126,126,'Silk Beef Pho Flavor Instant Rice Fettuccine',27,'Bowl','KOKA','Singapore'
127,127,'Delight Spicy Sesame Flavor Instant Non-Fried Noodles',87,'Pack','KOKA','Singapore'
128,128,'Signature Laksa Singapura Instant Noodles',79,'Bowl','KOKA','Singapore'
129,129,'Delight Spicy Black Pepper Flavor Instant Non-Fried Noodles',17,'Pack','KOKA','Singapore'
130,130,'Purple Wheat Noodles Chili & Lime Flavor',19,'Pack','KOKA','Singapore'
131,131,'Delight Tomato Flavor Instant Non-Fried Noodles',8,'Pack','KOKA','Singapore'
132,132,'Seafood Flavor Instant Noodles',69,'Cup','KOKA','Singapore'
133,133,'Signature Stir-Fry Original Flavor Instant Noodles',65,'Pack','KOKA','Singapore'
134,134,'Creamy Soup Witrh Crushed Noodles Curry Flavor',33,'Cup','KOKA','Singapore'
135,135,'Delight Laksa Singapura Flavor Instant Non-Fried Noodles',40,'Pack','KOKA','Singapore'
136,136,'Silk Spicy Marinara Instant Rice Fettuccine',85,'Bowl','KOKA','Singapore'
137,137,'Signature Chicken Flavor Instant Noodles',92,'Cup','KOKA','Singapore'
138,138,'Cup Noodles Sopa Nissin Hot Sauce Con Camaron',80,'Cup','Nissin','Mexico'
139,139,'Penang Hokkien Prawn Flavor Noodle',52,'Box','MyKuali','Japan'
140,140,'Roasted Pork Noodle',38,'Pack','Master Kong','China'
141,141,'Man Han Feast Super Hot Pot Beef Flavor Instant Noodles',66,'Bowl','Uni-President','Taiwan'
142,142,'Mi Goreng Original Flavour Fried Noodles',96,'Pack','World O' Noodle','Indonesia'
143,143,'Raoh Nojyuku Toro Tonkotsu Ramen',18,'Bowl','Nissin','Japan'
144,144,'Artificial Dongpo's Braised Pork Flavour',54,'Pack','Kang Shi Fu','Hong Kong'
145,145,'Lau Tom Chua Cay',6,'Pack','Mum Ngon','Vietnam'
146,146,'Old Beijing Fried Bean Sauce Noodle',6,'Pack','Happy Cook','Taiwan'
147,147,'Cup Noodles Indonesia Mie Goreng',78,'Cup','Nissin','Japan'
148,148,'Yummy Spicy Rice Soup With Seafood',82,'Bowl','Fashion Food','Thailand'
149,149,'Udon Japanese Style Fresh Noodle',33,'Bowl','Dream Kitchen','USA'
150,150,'MeeKuali Bihun Sup Rempah Perisa Daging',80,'Pack','MyKuali','Malaysia'
151,151,'T's Restaurant Sura Tanmen',35,'Cup','New Touch','Japan'
